年度,地區別,特用作物類別,種植面積,收穫面積,每公頃平均產量,產量
"2016","金門縣","其他特用作物","0.58","0.58","IF(E990=0,0,G990/E990*1000)","0.782"
"2016","連江縣","其他特用作物","0","0","0","0"
"2015","新北市","茶葉","754.87","671.21","2463.25889066015","413.341"
"2015","台北市","茶葉","104","104","2780.76923076923","72.3"
"2015","桃園市","茶葉","558.11","540.37","3212.25086514795","433.951"
"2015","台中市","茶葉","418.63","418.63","2600.24365191219","272.135"
"2015","台南市","茶葉","0.2","0.2","4000","0.2"
"2015","高雄市","茶葉","164.82","164.82","3812.5470209926","157.096"
"2015","宜蘭縣","茶葉","136.54","132.49","2225.01320854404","73.698"
"2015","新竹縣","茶葉","351.82","351.82","4223.96680120516","371.519"
"2015","苗栗縣","茶葉","273.24","273.24","4865.42233933538","332.357"
"2015","彰化縣","茶葉","3.27","3.27","4523.54740061162","3.698"
"2015","南投縣","茶葉","6445.13","6392.43","5986.95769840264","9567.802"
"2015","雲林縣","茶葉","379.55","379.55","3800.00526939797","360.573"
"2015","嘉義縣","茶葉","1821.66","1821.66","4564.32923816739","2078.664"
"2015","屏東縣","茶葉","8.94","8.94","3617.44966442953","8.085"
"2015","台東縣","茶葉","213.14","213.14","2825.41052829126","150.552"
"2015","花蓮縣","茶葉","145.01","142.51","3008.12574556172","107.172"
"2015","澎湖縣","茶葉","0","0","0","0"
"2015","基隆市","茶葉","0.02","0.02","3000","0.015"
"2015","新竹市","茶葉","1.4","1.4","4448.57142857143","1.557"
"2015","嘉義市","茶葉","0","0","0","0"
"2015","金門縣","茶葉","0","0","0","0"
"2015","連江縣","茶葉","0","0","0","0"
"2015","新北市","菸草","-","-","-","-"
"2015","台北市","菸草","-","-","-","-"
"2015","桃園市","菸草","-","-","-","-"
"2015","台中市","菸草","13","13","2499","32"
"2015","台南市","菸草","3","3","2502","8"
"2015","高雄市","菸草","152","152","2503","379"
"2015","宜蘭縣","菸草","-","-","-","-"
"2015","新竹縣","菸草","-","-","-","-"
"2015","苗栗縣","菸草","-","-","-","-"
"2015","彰化縣","菸草","31","31","2506","79"
"2015","南投縣","菸草","146","146","2505","365"
"2015","雲林縣","菸草","58","58","2509","146"
"2015","嘉義縣","菸草","130","130","2504","325"
"2015","屏東縣","菸草","74","74","2501","184"
"2015","台東縣","菸草","1","1","2457","3"
"2015","花蓮縣","菸草","31","31","2501","78"
"2015","澎湖縣","菸草","-","-","-","-"
"2015","基隆市","菸草","-","-","-","-"
"2015","新竹市","菸草","-","-","-","-"
"2015","嘉義市","菸草","2","2","2492","4"
"2015","金門縣","菸草","0","0","0","0"
"2015","連江縣","菸草","0","0","0","0"
"2015","新北市","製糖甘蔗-白糖","-","-","-","-"
"2015","台北市","製糖甘蔗-白糖","-","-","-","-"
"2015","桃園市","製糖甘蔗-白糖","-","-","-","-"
"2015","台中市","製糖甘蔗-白糖","-","-","-","-"
"2015","台南市","製糖甘蔗-白糖","1977","1916","75961","145539"
"2015","高雄市","製糖甘蔗-白糖","71","71","97779","6913"
"2015","宜蘭縣","製糖甘蔗-白糖","-","-","-","-"
"2015","新竹縣","製糖甘蔗-白糖","-","-","-","-"
"2015","苗栗縣","製糖甘蔗-白糖","-","-","-","-"
"2015","彰化縣","製糖甘蔗-白糖","1047","1047","72341","75764"
"2015","南投縣","製糖甘蔗-白糖","-","-","-","-"
"2015","雲林縣","製糖甘蔗-白糖","3028","2999","71569","214629"
"2015","嘉義縣","製糖甘蔗-白糖","2775","2731","64221","175419"
"2015","屏東縣","製糖甘蔗-白糖","-","-","-","-"
"2015","台東縣","製糖甘蔗-白糖","-","-","-","-"
"2015","花蓮縣","製糖甘蔗-白糖","-","-","-","-"
"2015","澎湖縣","製糖甘蔗-白糖","-","-","-","-"
"2015","基隆市","製糖甘蔗-白糖","-","-","-","-"
"2015","新竹市","製糖甘蔗-白糖","-","-","-","-"
"2015","嘉義市","製糖甘蔗-白糖","-","-","-","-"
"2015","金門縣","製糖甘蔗-白糖","0","0","0","0"
"2015","連江縣","製糖甘蔗-白糖","0","0","0","0"
"2015","新北市","樹薯","6.26","4.74","11255.49","53.351"
"2015","台北市","樹薯","0","0","0","0"
"2015","桃園市","樹薯","0.72","0.71","15887.32","11.28"
"2015","台中市","樹薯","0.14","0.14","11264.29","1.577"
"2015","台南市","樹薯","2.59","2.59","17942.08","46.47"
"2015","高雄市","樹薯","9.21","9.21","11806.95","108.742"
"2015","宜蘭縣","樹薯","0.08","0.08","17062.5","1.365"
"2015","新竹縣","樹薯","0.06","0.06","7000","0.42"
"2015","苗栗縣","樹薯","4.49","4.49","16514.48","74.15"
"2015","彰化縣","樹薯","0","0","0","0"
"2015","南投縣","樹薯","0.4","0.4","10000","4"
"2015","雲林縣","樹薯","0.5","0.5","17000","8.5"
"2015","嘉義縣","樹薯","6.13","6.13","14517.13","88.99"
"2015","屏東縣","樹薯","1.29","1.29","13471.32","17.378"
"2015","台東縣","樹薯","2.34","2.34","15316.67","35.841"
"2015","花蓮縣","樹薯","4.81","4.81","15124.74","72.75"
"2015","澎湖縣","樹薯","0","0","0","0"
"2015","基隆市","樹薯","0","0","0","0"
"2015","新竹市","樹薯","0","0","0","0"
"2015","嘉義市","樹薯","0","0","0","0"
"2015","金門縣","樹薯","0","0","0","0"
"2015","連江縣","樹薯","0","0","0","0"
"2015","新北市","食用甘蔗","2.04","2","16398","32.796"
"2015","台北市","食用甘蔗","0","0","0","0"
"2015","桃園市","食用甘蔗","0.3","0.3","18850","5.655"
"2015","台中市","食用甘蔗","4.07","4.07","38139.56","155.228"
"2015","台南市","食用甘蔗","118.32","114.82","63572.72","7299.42"
"2015","高雄市","食用甘蔗","32.77","32.77","57414.04","1881.458"
"2015","宜蘭縣","食用甘蔗","6.4","6.4","14711.72","94.155"
"2015","新竹縣","食用甘蔗","8.82","8.82","30451.25","268.58"
"2015","苗栗縣","食用甘蔗","4.87","4.87","37981.52","184.97"
"2015","彰化縣","食用甘蔗","50.68","50.68","81380.03","4124.34"
"2015","南投縣","食用甘蔗","90.61","70.26","98186.66","6898.595"
"2015","雲林縣","食用甘蔗","128.87","128.87","92221.7","11884.611"
"2015","嘉義縣","食用甘蔗","194.87","193.37","43508.07","8413.155"
"2015","屏東縣","食用甘蔗","53.57","51.21","57002.87","2919.117"
"2015","台東縣","食用甘蔗","22.96","22.96","91504.36","2100.94"
"2015","花蓮縣","食用甘蔗","7.54","6.54","30500.61","199.474"
"2015","澎湖縣","食用甘蔗","0","0","0","0"
"2015","基隆市","食用甘蔗","0","0","0","0"
"2015","新竹市","食用甘蔗","0","0","0","0"
"2015","嘉義市","食用甘蔗","3.7","3.7","50000","185"
"2015","金門縣","食用甘蔗","0","0","0","0"
"2015","連江縣","食用甘蔗","0","0","0","0"
"2015","新北市","芝麻","0","0","0","0"
"2015","台北市","芝麻","0","0","0","0"
"2015","桃園市","芝麻","0.9","0.9","700","0.63"
"2015","台中市","芝麻","143.92","143.92","480.38","69.137"
"2015","台南市","芝麻","1988.06","1988.06","902.5","1794.232"
"2015","高雄市","芝麻","1.94","1.94","1029.9","1.998"
"2015","宜蘭縣","芝麻","0.41","0","0","0"
"2015","新竹縣","芝麻","1.9","1.9","700","1.33"
"2015","苗栗縣","芝麻","8.8","8.8","879.09","7.736"
"2015","彰化縣","芝麻","67.61","67.61","356.41","24.097"
"2015","南投縣","芝麻","2.4","2.4","566.67","1.36"
"2015","雲林縣","芝麻","31.76","31.76","561.65","17.838"
"2015","嘉義縣","芝麻","45.93","45.93","476.29","21.876"
"2015","屏東縣","芝麻","17.95","17.95","802.56","14.406"
"2015","台東縣","芝麻","0","0","0","0"
"2015","花蓮縣","芝麻","0","0","0","0"
"2015","澎湖縣","芝麻","0","0","0","0"
"2015","基隆市","芝麻","0","0","0","0"
"2015","新竹市","芝麻","0","0","0","0"
"2015","嘉義市","芝麻","0","0","0","0"
"2015","金門縣","芝麻","0","0","0","0"
"2015","連江縣","芝麻","0","0","0","0"
"2015","新北市","香花作物","0.03","0.03","2500","0.075"
"2015","台北市","香花作物","0","0","0","0"
"2015","桃園市","香花作物","0","0","0","0"
"2015","台中市","香花作物","0","0","0","0"
"2015","台南市","香花作物","0","0","0","0"
"2015","高雄市","香花作物","0","0","0","0"
"2015","宜蘭縣","香花作物","0","0","0","0"
"2015","新竹縣","香花作物","0","0","0","0"
"2015","苗栗縣","香花作物","31.35","31.35","1002.74","31.436"
"2015","彰化縣","香花作物","29.53","29.53","2485.2","73.388"
"2015","南投縣","香花作物","0","0","0","0"
"2015","雲林縣","香花作物","0","0","0","0"
"2015","嘉義縣","香花作物","0.2","0.2","2450","0.49"
"2015","屏東縣","香花作物","16.82","16.61","2038.65","33.862"
"2015","台東縣","香花作物","11.16","11.16","560.84","6.259"
"2015","花蓮縣","香花作物","0.3","0.3","450","0.135"
"2015","澎湖縣","香花作物","0","0","0","0"
"2015","基隆市","香花作物","0","0","0","0"
"2015","新竹市","香花作物","0","0","0","0"
"2015","嘉義市","香花作物","0","0","0","0"
"2015","金門縣","香花作物","0","0","0","0"
"2015","連江縣","香花作物","0","0","0","0"
"2015","新北市","山藥","40.83","40.83","14360.13","586.324"
"2015","台北市","山藥","20.13","20.13","18961.75","381.7"
"2015","桃園市","山藥","0.07","0.07","17142.86","1.2"
"2015","台中市","山藥","1.67","1.67","16005.39","26.729"
"2015","台南市","山藥","0.16","0.16","30250","4.84"
"2015","高雄市","山藥","2.21","2.21","12221.72","27.01"
"2015","宜蘭縣","山藥","10.02","10.02","18377.05","184.138"
"2015","新竹縣","山藥","1.72","1.72","7944.77","13.665"
"2015","苗栗縣","山藥","0.92","0.92","18880.43","17.37"
"2015","彰化縣","山藥","137.25","137.25","12765.97","1752.13"
"2015","南投縣","山藥","222.72","222.72","37355.67","8319.855"
"2015","雲林縣","山藥","9.41","9.41","20433.05","192.275"
"2015","嘉義縣","山藥","9.81","9.81","16402.96","160.913"
"2015","屏東縣","山藥","14.77","14.77","18591","274.589"
"2015","台東縣","山藥","3.05","3.05","14032.79","42.8"
"2015","花蓮縣","山藥","9.24","9.24","23696.75","218.958"
"2015","澎湖縣","山藥","0.2","0.2","18000","3.6"
"2015","基隆市","山藥","1","1","13960","13.96"
"2015","新竹市","山藥","0","0","0","0"
"2015","嘉義市","山藥","1.2","1.2","12500","15"
"2015","金門縣","山藥","0","0","0","0"
"2015","連江縣","山藥","0","0","0","0"
"2015","新北市","其他特用作物","281.9","253.12","1462.18789506953","370.109"
"2015","台北市","其他特用作物","1.94","1.94","3724.22680412372","7.22500000000002"
"2015","桃園市","其他特用作物","124.52","122.97","1162.82020004879","142.992"
"2015","台中市","其他特用作物","217.41","213.45","4098.94120402905","874.919"
"2015","台南市","其他特用作物","368.97","369.77","3077.09927792952","1137.819"
"2015","高雄市","其他特用作物","654.53","654.53","4529.52653048753","2964.711"
"2015","宜蘭縣","其他特用作物","43.16","41.03","1603.82646843773","65.805"
"2015","新竹縣","其他特用作物","137.71","137.71","4455.82746351028","613.612"
"2015","苗栗縣","其他特用作物","145.81","145.59","1912.98852943197","278.512"
"2015","彰化縣","其他特用作物","297.45","297.35","5165.07819068438","1535.836"
"2015","南投縣","其他特用作物","682.68","680.28","3076.48615276063","2092.872"
"2015","雲林縣","其他特用作物","265.35","265.17","4820.52268356149","1278.258"
"2015","嘉義縣","其他特用作物","928.26","926.66","2310.80223598731","2141.328"
"2015","屏東縣","其他特用作物","478.09","474.44","3523.34331000759","1671.615"
"2015","台東縣","其他特用作物","2227.77","2223.52","4553.25654817587","10124.257"
"2015","花蓮縣","其他特用作物","624.18","611.79","2987.44667287795","1827.69"
"2015","澎湖縣","其他特用作物","4.21","4.2","2807.85714285714","11.793"
"2015","基隆市","其他特用作物","0.01","0.01","999.999999999978","0.00999999999999979"
"2015","新竹市","其他特用作物","0.25","0.25","10500","2.625"
"2015","嘉義市","其他特用作物","0.96","0.96","1297.91666666667","1.246"
"2015","金門縣","其他特用作物","0","0","0","0"
"2015","連江縣","其他特用作物","0","0","0","0"
"2014","新北市","茶葉","756","685","2408","413"
"2014","台北市","茶葉","131","131","2545","83"
"2014","台中市","茶葉","425","425","3200","340"
"2014","台南市","茶葉","0","0","4000","0"
"2014","高雄市","茶葉","165","165","4311","178"
"2014","宜蘭縣","茶葉","143","140","2921","102"
"2014","桃園縣","茶葉","565","559","3477","486"
"2014","新竹縣","茶葉","361","361","4222","381"
"2014","苗栗縣","茶葉","281","281","4905","344"
"2014","彰化縣","茶葉","2","2","4608","3"
"2014","南投縣","茶葉","6510","6475","6256","10127"
"2014","雲林縣","茶葉","387","387","3848","372"
"2014","嘉義縣","茶葉","1819","1819","4645","2112"
"2014","屏東縣","茶葉","6","6","3764","6"
"2014","台東縣","茶葉","213","211","2807","148"
"2014","花蓮縣","茶葉","139","136","3025","103"
"2014","澎湖縣","茶葉","-","-","-","-"
"2014","基隆市","茶葉","0","0","2800","0"
"2014","新竹市","茶葉","1","1","4166","1"
"2014","嘉義市","茶葉","-","-","-","-"
"2014","金門縣","茶葉","-","-","-","-"
"2014","連江縣","茶葉","-","-","-","-"
"2014","新北市","菸草","-","-","-","-"
"2014","台北市","菸草","-","-","-","-"
"2014","台中市","菸草","13","13","2492","32"
"2014","台南市","菸草","5","5","2499","12"
"2014","高雄市","菸草","157","157","2496","391"
"2014","宜蘭縣","菸草","-","-","-","-"
"2014","桃園縣","菸草","-","-","-","-"
"2014","新竹縣","菸草","-","-","-","-"
"2014","苗栗縣","菸草","-","-","-","-"
"2014","彰化縣","菸草","32","32","2495","80"
"2014","南投縣","菸草","151","151","2495","376"
"2014","雲林縣","菸草","60","60","2498","150"
"2014","嘉義縣","菸草","132","132","2494","329"
"2014","屏東縣","菸草","76","76","2504","190"
"2014","台東縣","菸草","1","1","2499","3"
"2014","花蓮縣","菸草","32","32","2495","80"
"2014","澎湖縣","菸草","-","-","-","-"
"2014","基隆市","菸草","-","-","-","-"
"2014","新竹市","菸草","-","-","-","-"
"2014","嘉義市","菸草","2","2","2498","6"
"2014","金門縣","菸草","-","-","-","-"
"2014","連江縣","菸草","-","-","-","-"
"2014","新北市","製糖甘蔗-白糖","-","-","-","-"
"2014","台北市","製糖甘蔗-白糖","-","-","-","-"
"2014","台中市","製糖甘蔗-白糖","-","-","-","-"
"2014","台南市","製糖甘蔗-白糖","1709","1466","68567","100516"
"2014","高雄市","製糖甘蔗-白糖","40","34","98921","3395"
"2014","宜蘭縣","製糖甘蔗-白糖","-","-","-","-"
"2014","桃園縣","製糖甘蔗-白糖","-","-","-","-"
"2014","新竹縣","製糖甘蔗-白糖","-","-","-","-"
"2014","苗栗縣","製糖甘蔗-白糖","-","-","-","-"
"2014","彰化縣","製糖甘蔗-白糖","1068","957","72752","69622"
"2014","南投縣","製糖甘蔗-白糖","-","-","-","-"
"2014","雲林縣","製糖甘蔗-白糖","2888","2463","74187","182745"
"2014","嘉義縣","製糖甘蔗-白糖","2930","2522","58066","146428"
"2014","屏東縣","製糖甘蔗-白糖","-","-","-","-"
"2014","台東縣","製糖甘蔗-白糖","-","-","-","-"
"2014","花蓮縣","製糖甘蔗-白糖","-","-","-","-"
"2014","澎湖縣","製糖甘蔗-白糖","-","-","-","-"
"2014","基隆市","製糖甘蔗-白糖","-","-","-","-"
"2014","新竹市","製糖甘蔗-白糖","-","-","-","-"
"2014","嘉義市","製糖甘蔗-白糖","-","-","-","-"
"2014","金門縣","製糖甘蔗-白糖","-","-","-","-"
"2014","連江縣","製糖甘蔗-白糖","-","-","-","-"
"2014","新北市","樹薯","3","2","11224","24"
"2014","台北市","樹薯","-","-","-","-"
"2014","台中市","樹薯","0","0","10962","3"
"2014","台南市","樹薯","2","2","18324","38"
"2014","高雄市","樹薯","8","8","13803","117"
"2014","宜蘭縣","樹薯","-","-","-","-"
"2014","桃園縣","樹薯","1","1","15887","11"
"2014","新竹縣","樹薯","0","0","7000","0"
"2014","苗栗縣","樹薯","7","7","15208","104"
"2014","彰化縣","樹薯","-","-","-","-"
"2014","南投縣","樹薯","1","1","10083","6"
"2014","雲林縣","樹薯","2","2","22000","44"
"2014","嘉義縣","樹薯","7","7","14815","96"
"2014","屏東縣","樹薯","2","2","13862","26"
"2014","台東縣","樹薯","2","2","15292","35"
"2014","花蓮縣","樹薯","1","1","16000","13"
"2014","澎湖縣","樹薯","-","-","-","-"
"2014","基隆市","樹薯","-","-","-","-"
"2014","新竹市","樹薯","-","-","-","-"
"2014","嘉義市","樹薯","-","-","-","-"
"2014","金門縣","樹薯","-","-","-","-"
"2014","連江縣","樹薯","-","-","-","-"
"2014","新北市","食用甘蔗","2","2","15700","33"
"2014","台北市","食用甘蔗","-","-","-","-"
"2014","台中市","食用甘蔗","8","8","38964","297"
"2014","台南市","食用甘蔗","54","53","71403","3793"
"2014","高雄市","食用甘蔗","36","29","66943","1923"
"2014","宜蘭縣","食用甘蔗","6","6","22868","145"
"2014","桃園縣","食用甘蔗","0","0","15500","4"
"2014","新竹縣","食用甘蔗","3","3","20045","66"
"2014","苗栗縣","食用甘蔗","5","5","39620","207"
"2014","彰化縣","食用甘蔗","44","42","87536","3694"
"2014","南投縣","食用甘蔗","117","83","99448","8297"
"2014","雲林縣","食用甘蔗","132","132","96497","12704"
"2014","嘉義縣","食用甘蔗","67","67","56527","3805"
"2014","屏東縣","食用甘蔗","35","33","60261","1968"
"2014","台東縣","食用甘蔗","26","26","87164","2269"
"2014","花蓮縣","食用甘蔗","3","3","31308","106"
"2014","澎湖縣","食用甘蔗","-","-","-","-"
"2014","基隆市","食用甘蔗","-","-","-","-"
"2014","新竹市","食用甘蔗","-","-","-","-"
"2014","嘉義市","食用甘蔗","3","3","60500","151"
"2014","金門縣","食用甘蔗","-","-","-","-"
"2014","連江縣","食用甘蔗","-","-","-","-"
"2014","新北市","芝麻","-","-","-","-"
"2014","台北市","芝麻","-","-","-","-"
"2014","台中市","芝麻","130","130","624","81"
"2014","台南市","芝麻","1908","1908","1092","2083"
"2014","高雄市","芝麻","1","1","1000","1"
"2014","宜蘭縣","芝麻","0","0","1000","0"
"2014","桃園縣","芝麻","-","-","-","-"
"2014","新竹縣","芝麻","1","1","700","0"
"2014","苗栗縣","芝麻","4","4","484","2"
"2014","彰化縣","芝麻","49","49","437","21"
"2014","南投縣","芝麻","1","1","733","1"
"2014","雲林縣","芝麻","11","11","677","8"
"2014","嘉義縣","芝麻","17","17","526","9"
"2014","屏東縣","芝麻","4","4","700","3"
"2014","台東縣","芝麻","-","-","-","-"
"2014","花蓮縣","芝麻","-","-","-","-"
"2014","澎湖縣","芝麻","-","-","-","-"
"2014","基隆市","芝麻","-","-","-","-"
"2014","新竹市","芝麻","-","-","-","-"
"2014","嘉義市","芝麻","-","-","-","-"
"2014","金門縣","芝麻","-","-","-","-"
"2014","連江縣","芝麻","-","-","-","-"
"2014","新北市","香花作物","0","0","2500","0"
"2014","台北市","香花作物","-","-","-","-"
"2014","台中市","香花作物","-","-","-","-"
"2014","台南市","香花作物","-","-","-","-"
"2014","高雄市","香花作物","-","-","-","-"
"2014","宜蘭縣","香花作物","-","-","-","-"
"2014","桃園縣","香花作物","-","-","-","-"
"2014","新竹縣","香花作物","0","0","2500","0"
"2014","苗栗縣","香花作物","26","26","1300","34"
"2014","彰化縣","香花作物","30","30","2873","86"
"2014","南投縣","香花作物","-","-","-","-"
"2014","雲林縣","香花作物","-","-","-","-"
"2014","嘉義縣","香花作物","0","0","2750","1"
"2014","屏東縣","香花作物","17","17","2180","36"
"2014","台東縣","香花作物","23","23","582","13"
"2014","花蓮縣","香花作物","2","1","500","1"
"2014","澎湖縣","香花作物","-","-","-","-"
"2014","基隆市","香花作物","-","-","-","-"
"2014","新竹市","香花作物","-","-","-","-"
"2014","嘉義市","香花作物","-","-","-","-"
"2014","金門縣","香花作物","-","-","-","-"
"2014","連江縣","香花作物","-","-","-","-"
"2014","新北市","山藥","46","46","14603","672"
"2014","台北市","山藥","23","23","22556","508"
"2014","台中市","山藥","1","1","16284","20"
"2014","台南市","山藥","0","0","30000","3"
"2014","高雄市","山藥","2","2","13430","27"
"2014","宜蘭縣","山藥","12","12","21249","249"
"2014","桃園縣","山藥","-","-","-","-"
"2014","新竹縣","山藥","2","2","10480","16"
"2014","苗栗縣","山藥","0","0","25000","8"
"2014","彰化縣","山藥","121","121","15288","1847"
"2014","南投縣","山藥","227","227","37649","8531"
"2014","雲林縣","山藥","8","8","20610","166"
"2014","嘉義縣","山藥","9","9","19145","170"
"2014","屏東縣","山藥","15","15","18754","276"
"2014","台東縣","山藥","0","0","14000","6"
"2014","花蓮縣","山藥","11","11","23539","251"
"2014","澎湖縣","山藥","0","0","18100","4"
"2014","基隆市","山藥","1","1","14588","17"
"2014","新竹市","山藥","-","-","-","-"
"2014","嘉義市","山藥","1","1","25000","30"
"2014","金門縣","山藥","0","0","25232","5"
"2014","連江縣","山藥","-","-","-","-"
"2014","新北市","其他特用作物","295","268","1161","311"
"2014","台北市","其他特用作物","2","2","3747","8"
"2014","台中市","其他特用作物","140","130","2319","301"
"2014","台南市","其他特用作物","355","354","2796","991"
"2014","高雄市","其他特用作物","618","610","4928","3005"
"2014","宜蘭縣","其他特用作物","18","15","1293","19"
"2014","桃園縣","其他特用作物","112","108","1979","214"
"2014","新竹縣","其他特用作物","94","94","4249","400"
"2014","苗栗縣","其他特用作物","142","142","2045","290"
"2014","彰化縣","其他特用作物","241","240","5781","1386"
"2014","南投縣","其他特用作物","680","678","3422","2320"
"2014","雲林縣","其他特用作物","187","186","4877","908"
"2014","嘉義縣","其他特用作物","895","894","2534","2264"
"2014","屏東縣","其他特用作物","495","493","3554","1751"
"2014","台東縣","其他特用作物","2259","2241","4716","10570"
"2014","花蓮縣","其他特用作物","610","601","2963","1780"
"2014","澎湖縣","其他特用作物","4","4","4000","15"
"2014","基隆市","其他特用作物","-","-","-","-"
"2014","新竹市","其他特用作物","-","-","-","-"
"2014","嘉義市","其他特用作物","0","0","120","0"
"2014","金門縣","其他特用作物","-","-","-","-"
"2014","連江縣","其他特用作物","-","-","-","-"
"2013","新北市","茶葉","754.44","685.17","1939.87477560314","332.286"
"2013","台北市","茶葉","131.8","131.8","2545.3717754173","83.87"
"2013","台中市","茶葉","411.15","411.15","3039.58166119421","312.431"
"2013","台南市","茶葉","0.2","0.2","4400","0.22"
"2013","高雄市","茶葉","160.68","160.68","4320.78665670899","173.566"
"2013","宜蘭縣","茶葉","141.61","139.41","2962.31260311312","103.244"
"2013","桃園縣","茶葉","553.44","552.43","2947.59517042883","407.085"
"2013","新竹縣","茶葉","373.15","373.15","4184.50489079459","390.362"
"2013","苗栗縣","茶葉","283.02","283.02","5012.88954844181","354.687"
"2013","彰化縣","茶葉","2.12","2.07","4711.11111111111","2.438"
"2013","南投縣","茶葉","6557.2","6551","6326.90520531217","10361.889"
"2013","雲林縣","茶葉","377.03","377.03","3834.84603347214","361.463"
"2013","嘉義縣","茶葉","1818.76","1818.76","3510.90853108711","1596.375"
"2013","屏東縣","茶葉","6.08","6.08","3659.86842105263","5.563"
"2013","台東縣","茶葉","193.07","191.82","2712.20936294443","130.064"
"2013","花蓮縣","茶葉","137.4","132.95","3021.13576532531","100.415"
"2013","澎湖縣","茶葉","0","0","0","0"
"2013","基隆市","茶葉","0.02","0.02","2600","0.013"
"2013","新竹市","茶葉","1.6","1.6","4287.5","1.715"
"2013","嘉義市","茶葉","0","0","0","0"
"2013","金門縣","茶葉","0","0","0","0"
"2013","連江縣","茶葉","0","0","0","0"
"2013","新北市","菸草","0","0","0","0"
"2013","台北市","菸草","0","0","0","0"
"2013","台中市","菸草","13","13","2500","33"
"2013","台南市","菸草","6","6","2495","14"
"2013","高雄市","菸草","170","170","2496","425"
"2013","宜蘭縣","菸草","0","0","0","0"
"2013","桃園縣","菸草","0","0","0","0"
"2013","新竹縣","菸草","0","0","0","0"
"2013","苗栗縣","菸草","0","0","0","0"
"2013","彰化縣","菸草","33","33","2495","83"
"2013","南投縣","菸草","155","155","2499","387"
"2013","雲林縣","菸草","62","62","2499","156"
"2013","嘉義縣","菸草","135","135","2499","337"
"2013","屏東縣","菸草","69","69","2499","173"
"2013","台東縣","菸草","1","1","2479","3"
"2013","花蓮縣","菸草","33","33","2494","82"
"2013","澎湖縣","菸草","0","0","0","0"
"2013","基隆市","菸草","0","0","0","0"
"2013","新竹市","菸草","0","0","0","0"
"2013","嘉義市","菸草","2","2","2512","5"
"2013","金門縣","菸草","0","0","0","0"
"2013","連江縣","菸草","0","0","0","0"
"2013","新北市","製糖甘蔗-白糖","0","0","0","0"
"2013","台北市","製糖甘蔗-白糖","0","0","0","0"
"2013","台中市","製糖甘蔗-白糖","0","0","0","0"
"2013","台南市","製糖甘蔗-白糖","1662","1647","59186","97468"
"2013","高雄市","製糖甘蔗-白糖","33","33","88592","2964"
"2013","宜蘭縣","製糖甘蔗-白糖","0","0","0","0"
"2013","桃園縣","製糖甘蔗-白糖","0","0","0","0"
"2013","新竹縣","製糖甘蔗-白糖","0","0","0","0"
"2013","苗栗縣","製糖甘蔗-白糖","0","0","0","0"
"2013","彰化縣","製糖甘蔗-白糖","1075","1075","60986","65590"
"2013","南投縣","製糖甘蔗-白糖","0","0","0","0"
"2013","雲林縣","製糖甘蔗-白糖","2581","2576","64181","165353"
"2013","嘉義縣","製糖甘蔗-白糖","2757","2753","63266","174150"
"2013","屏東縣","製糖甘蔗-白糖","0","0","0","0"
"2013","台東縣","製糖甘蔗-白糖","0","0","0","0"
"2013","花蓮縣","製糖甘蔗-白糖","0","0","0","0"
"2013","澎湖縣","製糖甘蔗-白糖","0","0","0","0"
"2013","基隆市","製糖甘蔗-白糖","0","0","0","0"
"2013","新竹市","製糖甘蔗-白糖","0","0","0","0"
"2013","嘉義市","製糖甘蔗-白糖","0","0","0","0"
"2013","金門縣","製糖甘蔗-白糖","0","I858+L858","0","J858+M858"
"2013","連江縣","製糖甘蔗-白糖","0","I859+L859","0","J859+M859"
"2013","新北市","樹薯","1.66","1.66","11521.08","19.125"
"2013","台北市","樹薯","0","0","0","0"
"2013","台中市","樹薯","0.46","0.46","10295.65","4.736"
"2013","台南市","樹薯","1.93","1.93","18272.02","35.265"
"2013","高雄市","樹薯","8.77","8.77","13695.78","120.112"
"2013","宜蘭縣","樹薯","0.1","0.1","13000","1.3"
"2013","桃園縣","樹薯","0.73","0.73","16356.16","11.94"
"2013","新竹縣","樹薯","0","0","0","0"
"2013","苗栗縣","樹薯","8.28","8.28","16035.63","132.775"
"2013","彰化縣","樹薯","0","0","0","0"
"2013","南投縣","樹薯","0.8","0.8","9625","7.7"
"2013","雲林縣","樹薯","6.5","6.5","12300","79.95"
"2013","嘉義縣","樹薯","4.7","4.7","15106.38","71"
"2013","屏東縣","樹薯","4.95","4.95","13070.71","64.7"
"2013","台東縣","樹薯","1.13","1.13","15253.1","17.236"
"2013","花蓮縣","樹薯","1.1","1.1","16000","17.6"
"2013","澎湖縣","樹薯","0","0","0","0"
"2013","基隆市","樹薯","0","0","0","0"
"2013","新竹市","樹薯","0","0","0","0"
"2013","嘉義市","樹薯","0","0","0","0"
"2013","金門縣","樹薯","0","0","0","0"
"2013","連江縣","樹薯","0","0","0","0"
"2013","新北市","食用甘蔗","1.91","1.81","17055.8","30.871"
"2013","台北市","食用甘蔗","0","0","0","0"
"2013","台中市","食用甘蔗","5.79","5.79","38943.01","225.48"
"2013","台南市","食用甘蔗","28.27","26.61","65884.07","1753.175"
"2013","高雄市","食用甘蔗","19.09","18.09","63213.93","1143.54"
"2013","宜蘭縣","食用甘蔗","6.71","6.71","26845.01","180.13"
"2013","桃園縣","食用甘蔗","0.18","0.18","12333.33","2.22"
"2013","新竹縣","食用甘蔗","3.38","3.38","18831.95","63.652"
